scope,url,name,google place query (name from wiki),google place id
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000193,High Prairie Health Complex,Alberta High Prairie Health Complex,ChIJuS0N08cnmFMRO34G4DYQKw0
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000953,High River General Hospital,Alberta High River General Hospital,ChIJ72htlkGVcVMRkCTLlT7Dpec
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000403,Hinton Healthcare Centre,Alberta Hinton Healthcare Centre,ChIJhdCMLOSNnFMRsLpSZJUpSJE
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000315,Innisfail Health Centre,Alberta Innisfail Health Centre,ChIJoXtKgW9BdFMRxaQoZkhEY3M
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000356,Killam Health Care Centre,Alberta Killam Health Centre,ChIJq74334P_ClMR4Y4uDkUdIPc
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1022053,Lacombe Hospital and Care Centre,Alberta Lacombe Hospital and Care Centre,ChIJ66doTgEEdVMRkIBPwiGVNhQ
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000187,Lamont Health Care Centre,Alberta Lamont Health Care Centre,ChIJtd53rjtZoFMRE57sosMPq18
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=7825,Leduc Community Hospital,Alberta Leduc Community Hospital & Health Centre,ChIJY19Q32z5n1MRlOiPGOeoNbc
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=7825,Leduc Community Hospital,Alberta Leduc Community Hospital,ChIJY19Q32z5n1MRlOiPGOeoNbc
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000424,Mayerthorpe Healthcare Centre,Alberta Mayerthorpe Healthcare Centre,ChIJU7KREX7QnlMRiDMYmb5ez7c
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000474,Medicine Hat Regional Hospital,Alberta Medicine Hat Regional Hospital,ChIJwQhkeeUsE1MRBUkl1zST4XA
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=7820,Misericordia Community Hospital,Alberta Misericordia Community Hospital,ChIJW-6GbVAgoFMRw195frfL4Gc
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000952,Oilfields General Hospital,Alberta Oilfields General Hospital,ChIJ7xEhGZYNclMRjQjKUsh35P4
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000324,Olds Hospital and Care Centre,Alberta Olds Hospital and Care Centre,ChIJ26vvGNwQdFMRbSET4S22Ig4
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000291,Our Lady of the Rosary Hospital,Alberta Our Lady of the Rosary Hospital,ChIJAaavNpxBC1MR-OBb6mvM41c
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000203,Peace River Community Health Centre,Alberta Peace River Community Health Centre,ChIJu9n1c15FllMR5JMpRYOqL54
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=2,Peter Lougheed Centre,Alberta Peter Lougheed Centre,ChIJz2CHscZkcVMR-7yhzFoCIy4
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=3302,Pincher Creek Health Centre,Alberta Pincher Creek Hospital,ChIJbQ1xQWUKb1MRsUBXh_GLOYc
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000330,Ponoka Hospital and Care Centre,Alberta Ponoka Hospital and Care Centre,ChIJCQlAtjMUdVMRCauwyyK2xOQ
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000208,Queen Elizabeth II Hospital,Alberta Queen Elizabeth II Hospital,ChIJdTbGbbOWkFMRTZDosdmT9jw
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=3306,Raymond Health Centre,Alberta Raymond Hospital,ChIJbZmOcC6YblMRwpdxo2uBe8c
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000342,Red Deer Regional Hospital Centre,Alberta Red Deer Regional Hospital and Care Centre,ChIJIexPlSBUdFMRzAnJPPse3KI
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=6,Richmond Road Diagnostic and Treatment Centre,Alberta Richmond Road Diagnostic & Treatment Centre (RRDTC),ChIJCZbRVNRvcVMRk0DZ2Nnc3Ss
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000345,Rimbey Hospital and Care Centre,Alberta Rimbey Hospital and Care Centre,ChIJD_OSj8_ldVMRamJwSep6o7s
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000349,Rocky Mountain House Health Centre,Alberta Rocky Mountain House Hospital and Care Centre,ChIJnaYufC3ZdVMRpuT0fxt53e8
Alberta,http://www.ahs.ca/rgh,Rockyview General Hospital,Alberta Rockyview General Hospital,ChIJcfl_IglxcVMRQMjznTp5bOQ
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000209,Sacred Heart Community Health Centre,Alberta Sacred Heart Community Health Centre,ChIJU8iLGvmYl1MR2x1OrFTvEwA
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1018406,Sheldon M. Chumir Health Centre,Alberta Sheldon M. Chumir Health Centre (SMCHC),ChIJo-hsmR1wcVMRpQKQroPjEFE
Alberta,http://www.ahs.ca/shc,South Health Campus,Alberta South Health Campus,ChIJOYhUv2WdcVMROpuwqa-DiGQ
Alberta,https://www.covenanthealth.ca/hospitals-care-centres/st-marys-health-care-centre/,St. Mary’s Health Care Centre,Alberta St. Mary's Health Centre,ChIJC-aQgReBdFMRqgBJZY-sH50
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000302,"St. Mary's Hospital, Camrose",Alberta St. Mary's Hospital,ChIJwYj44dC7ClMRjhv25WHC6Ns
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000446,St. Therese - St. Paul Healthcare Centre,Alberta St. Paul Health Care Centre,ChIJZca-rB05p1MRhBdbcjEJyYw
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000353,Stettler Hospital and Care Centre,Alberta Stettler Hospital and Care Centre,ChIJF6rQqRu4dFMR9H2OsPOJbk4
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000943,Strathmore District Health Services,Alberta Strathmore District Health Services,ChIJ1eQ1CGHMc1MR1W1BC34LS-c
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000932,Sturgeon Community Hospital,Alberta Sturgeon Community Hospital & Health Center,ChIJZTUlv_oloFMRodKY_eEBIos
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000359,Sundre Hospital and Care Centre,Alberta Sundre Hospital and Care Centre,ChIJk2KObm2idlMRvc6IHb8c1Zs
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=3307,Taber Health Centre,Alberta Taber Hospital,ChIJmb_8COA1bFMRe9XOwyImTP4
Alberta,http://threehillshealthdonations.ca/,Three Hills Health Centre,Alberta Three Hills Health Centre,ChIJoxDCaE2Ac1MRmnMZ5YhJ1WU
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000176,Tofield Health Centre,Alberta Tofield Health Centre,ChIJCan0rmR3oFMRwsPI-dlSyE4
Alberta,https://www.ahs.ca/uah,University of Alberta Hospital,Alberta University of Alberta Hospital,ChIJK8QK__UhoFMRX4j46u4WM0U
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000287,Vermilion Health Centre,Alberta Vermilion Health Centre,ChIJTUVt44ntCVMRNlNYJklgkgM
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000189,Viking Health Centre,Alberta Viking Health Centre,ChIJd40pJOtCClMReWKlPadc6Ys
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1001052,Vulcan Community Health Centre,Alberta Vulcan Community Health Centre,ChIJGc_MrBj_cVMRsWPZ5VVruPU
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000326,Wainwright Health Centre,Alberta Wainwright Health Centre,ChIJp2BxQ6HWC1MRbH2pDcOCJCY
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1044401,Westlock Healthcare Centre,Alberta Westlock Healthcare Centre,ChIJezXceV3CoVMRDkhfSW9v31Y
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=8828,WestView Health Centre,Alberta WestView Health Centre,ChIJUSh5VyWOn1MRyKVeDVPcNDs
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000366,Wetaskiwin Hospital and Care Centre,Alberta Wetaskiwin Hospital and Care Centre,ChIJhymMBx5OdVMR7s5hB7aPAVE
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000435,Whitecourt Healthcare Centre,Alberta Whitecourt Healthcare Centre,ChIJSS1mhVrTnlMRU83DFotUVtI
British Columbia,http://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=100%20Mile%20District%20General%20Hospital&svc=Psychiatry&ploc=N/A,100 Mile District General Hospital,British Columbia 100 Mile District General Hospital,ChIJEUe5WRpsgFMRspWePDxuipg
British Columbia,http://www.fraserhealth.ca/,Abbotsford Regional Hospital and Cancer Centre,British Columbia Abbotsford Regional Hospital and Cancer Centre,ChIJC_F0l6hKhFQRqLPRlOyvJTA
British Columbia,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Arrow%20Lakes%20Hospital&svc=HIV%20Testing&ploc=N/A,Arrow Lakes Hospital,British Columbia Arrow Lakes Hospital,ChIJuXQ71VhxfFMRlslJRFWMsKo
British Columbia,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Ashcroft%20Hospital%20and%20Community%20Health%20Care%20Centre&svc=Telehealth&ploc=N/A,Ashcroft Hospital Laboratory,British Columbia Ashcroft and District Hospital,ChIJQxL_hVc_gFQRzsin3FsPXtE
British Columbia,http://www.bccancer.bc.ca/,BC Cancer Agency,British Columbia BC Cancer Agency,ChIJTdt5scJzhlQRoLrpm7XB3gQ
British Columbia,http://www.bcchildrens.ca/,BC Children's Hospital,British Columbia Shriners Hospitals for Children,ChIJFYq9Lnl0hlQRNX53Bqegqcw
British Columbia,http://www.bcwomens.ca/,BC Women’s Hospital,British Columbia B.C. Women's Hospital & Health Centre,ChIJeYHSeIlzhlQR8i9J5gJj4vU
British Columbia,http://www.vch.ca/locations-services/directory-sub-pages/bella-coola-general-hospital-residential-care-details,Bella Coola General Hospital,British Columbia Bella Coola General Hospital,ChIJzY8HunR5elQRX6y6MDl6ZRo
British Columbia,http://www.belvederebc.com/belvedere-care-centre,Belvedere Care Centre,British Columbia Belvedere Care Centre,ChIJieA1YhF4hlQRD1sKWwVXyrM
British Columbia,http://www.interiorhealth.ca/FindUs/Pages/default.aspx,Boundary District Hospital,British Columbia Boundary Hospital,ChIJvdE2KUmsYlMRqualfs_Jukw
British Columbia,http://tcgcare.com/braddanprivatehospital,Braddan Private Hospital,British Columbia Braddan Private Hospital,ChIJ8zIITLNzhlQReZd8KGsAkJo
British Columbia,https://www.northernhealth.ca/locations/hospitals/bulkley-valley-district-hospital,Bulkley Valley District Hospital,British Columbia Bulkley Valley District Hospital,ChIJoducrdkLdVQRYu7zXeWGDmw
British Columbia,http://www.fraserhealth.ca/,Burnaby Hospital,British Columbia Fellburn Hospital,ChIJKzdPfud2hlQRJmYaCLBanfc
British Columbia,http://www.cambiesurgery.com/,Cambie Surgery Centre,British Columbia Cambie Surgery Centre,ChIJV8ANaehzhlQRUXSKHJQ4Oog
British Columbia,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Cariboo%20Memorial%20Hospital&svc=CT%20Scan&ploc=N/A,Cariboo Memorial Hospital,British Columbia Cariboo Memorial Hospital,ChIJb-ZEWHmjgFMRAohLzyd5FhY
British Columbia,http://www.interiorhealth.ca/,Castlegar and District Community Health Centre,British Columbia Castlegar and District Community Health Centre,ChIJX-WTQ1fTfFMRdO0uLJfscTM
British Columbia,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/chemainus-health-care-centre,Chemainus Health Care Centre,British Columbia Chemainus Health Care Centre,ChIJB-p00edSj1QRTz8bpIXa7j0
British Columbia,https://www.northernhealth.ca/locations/long-term-care/chetwynd-hospital-and-health-centre,Chetwynd Hospital & Health Centre,British Columbia Chetwynd General Hospital,ChIJ1xGLPI79jVMRIQOk_xnVBGw
British Columbia,https://www.fraserhealth.ca/,Chilliwack General Hospital,British Columbia Chilliwack General Hospital,ChIJGZyX2HE_hFQRj1k9_DikwVU
British Columbia,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/cormorant-island-health-centre,Cormorant Island Health Centre,British Columbia Cormorant Island Community Health Centre,ChIJ7cYjQwBxY1QREhygB70U0Xs
British Columbia,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/cowichan-district-hospital,Cowichan District Hospital,British Columbia Cowichan District Hospital,ChIJ0dDq2kVPj1QR9FijhuMxo5E
British Columbia,https://www.interiorhealth.ca/Pages/default.aspx,Creston Valley Hospital & Health Centre,British Columbia Creston Valley Hospital,ChIJQ4qBeOFiY1MRLN5M8bmyru4
British Columbia,https://www.northernhealth.ca/locations/hospitals/dawson-creek-and-district-hospital,Dawson Creek & District Hospital,British Columbia Dawson Creek and District Hospital,ChIJt8G6jD2ZkVMRsVLY9lkrCRs
British Columbia,http://deltahospitalauxiliary.org/,Delta Hospital,British Columbia Delta Hospital,ChIJBakE6LfghVQRJg2iesXmtx0
British Columbia,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Dr.%20Helmcken%20Memorial%20Hospital&svc=Telehealth&ploc=N/A,Dr. Helmcken Memorial Hospital,British Columbia Dr. Helmcken Memorial Hospital,ChIJleOoFd7bgVMRNPLjTJzsMN8
British Columbia,https://www.islandhealth.ca/our-locations/long-term-care-locations/eagle-park-health-care-facility,Eagle Park Health Care Facility,British Columbia Eagle Park Health Care Facility,ChIJAw5XYtKOiFQR9HNzyRfoWRY
British Columbia,https://www.fraserhealth.ca/Service-Directory/Locations/Port-Moody/eagle-ridge-hospital#.XSqzNyUTGEc,Eagle Ridge Hospital,British Columbia Eagle Ridge Hospital,ChIJMYiV5NZ4hlQRzq7QSEcvv0g
British Columbia,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=East%20Kootenay%20Regional%20Hospital&svc=&ploc=,East Kootenay Regional Hospital,British Columbia East Kootenay Regional Hospital,ChIJp6EG90vfZFMRX96Qkd1LHUg
British Columbia,http://www.interiorhealth.ca/,Elk Valley Hospital,British Columbia Elk Valley Hospital,ChIJjZMrMfNrZVMREGfR2h42nlE
British Columbia,http://www.northernhealth.ca,Fort Nelson General Hospital,British Columbia Fort Nelson General Hospital,ChIJJ64wUI6t7lMR7zZDQm-VtnU
British Columbia,https://www.northernhealth.ca/locations/hospitals/fort-st-john-hospital-peace-villa,Fort St. John Hospital,British Columbia Fort St. John General Hospital,ChIJeXHVIy40klMRVq67WpORgNI
British Columbia,https://www.fraserhealth.ca/Service-Directory/Locations/Hope/fraser-canyon-hospital,Fraser Canyon Hospital,British Columbia Fraser Canyon Hospital,ChIJ-e_EoLT1g1QRyyu19HwLNjI
British Columbia,https://www.northernhealth.ca/newsroom/upgrades-way-gr-baker-memorial-hospital-ministry-health,G.R. Baker Memorial Hospital,British Columbia G.R. Baker Memorial Hospital,ChIJr1zLJlEPh1MRMwptFdOG0R0
British Columbia,http://www.vch.ca/about-us/development-projects/pearson-dogwood-redevelopment/george-pearson-centre-redevelopment,George Pearson Centre,British Columbia George Pearson Centre,ChIJY37B3WF0hlQRonCBhTFKhSs
British Columbia,http://www.vch.ca/locations-and-services/find-locations/find-locations?site_id=73,GF Strong Rehabilitation Centre,British Columbia G. F. Strong Centre,ChIJo4EyfpJzhlQRuO5u5JURbFU
British Columbia,https://www.interiorhealth.ca/,Golden & District Hospital,British Columbia Golden and District General Hospital,ChIJP7XxkJm_eVMRXC3RSXyB6-4
British Columbia,https://www.islandhealth.ca/our-locations/long-term-care-locations/gorge-road-hospital-long-term-care,Gorge Road Hospital,British Columbia Gorge Road Hospital,ChIJZ2VWKnBzj1QRvZVp8N_dQhA
British Columbia,https://www.northernhealth.ca/locations/hospitals/haida-gwaii-hospital-and-health-centre-xaayda-gwaay-ngaaysdll-naay,Haida Gwaii Hospital - Xaayda Gwaay Ngaaysdll Naay,British Columbia Queen Charlotte Islands General Hospital ?€? Masset Site,ChIJP6WJj8bcbFQR8vFzn-DGchw
British Columbia,https://www.northernhealth.ca/locations/hospitals/haida-gwaii-hospital-and-health-centre-xaayda-gwaay-ngaaysdll-naay,Haida Gwaii Hospital - Xaayda Gwaay Ngaaysdll Naay,British Columbia Queen Charlotte Islands General Hospital,ChIJP6WJj8bcbFQR8vFzn-DGchw
British Columbia,http://www.providencehealthcare.org/hospitals-residences/holy-family-hospital,Holy Family Hospital,British Columbia Holy Family Hospital,ChIJdcG65jV0hlQRF5dulY0tK5w
British Columbia,https://www.interiorhealth.ca/,Invermere & District Hospital,British Columbia Invermere and District Hospital,ChIJl9f8MjNhelMRc5dHJawoOxo
British Columbia,https://www.northernhealth.ca/locations/hospitals/kitimat-general-hospital-and-health-centre,Kitimat General Hospital & Health Centre,British Columbia Kitimat General Hospital,ChIJ9-qwEG6bc1QRLevZPHuvBWw
British Columbia,http://kbrh.ca/,Kootenay Boundary Regional Hospital,British Columbia Kootenay Boundary Regional Hospital,ChIJL1MpnunZYlMRE3oGsX2JmZw
British Columbia,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Kootenay%20Lake%20Hospital&svc=Emergency%20Health%20Services&ploc=N/A,Kootenay Lake Hospital,British Columbia Kootenay Lake Hospital,ChIJRRVfEKy2fFMRhB2n3yF6pAM
British Columbia,https://www.islandhealth.ca/our-locations/long-term-care-locations/lady-minto-gulf-island-hospital-long-term-care,Lady Minto / Gulf Islands Hospital,British Columbia Lady Minto Gulf Islands Hospital,ChIJg9g6_EdXj1QRYQwW1CTS_TU
British Columbia,https://www.islandhealth.ca/our-locations/hospitals-health-centre-locations/ladysmith-community-health-centre,Ladysmith Community Health Centre,British Columbia Ladysmith and District General Hospital,ChIJwfWrscKtiFQRV63hpBOm9uo
British Columbia,https://www.northernhealth.ca/locations/hospitals/lakes-district-hospital-and-health-centre,Lakes District Hospital and Health Centre,British Columbia Lakes District Hospital and Health Centre,ChIJgTXVt5sPdlQR7guenR7bq4k
British Columbia,https://www.reveraliving.com/long-term-care/locations/lakeview,Lakeview Long Term Care,British Columbia Lakeview Care Centre,ChIJE9WxYa12hlQRK6KDP-FBsfg
British Columbia,https://www.fraserhealth.ca/Service-Directory/Locations/Langley/langley-memorial-hospital,Langley Memorial Hospital,British Columbia Langley Memorial Hospital,ChIJgda6GVvOhVQREMgSVQzX6uM
British Columbia,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Lillooet%20Hospital%20%25and%25%20Health%20Centre&svc=Immunization%20Services&ploc=N/A,Lillooet Hospital & Health Centre,British Columbia Lillooet District Hospital,ChIJJ2afEjeKgFQRyp01btPQbyE
British Columbia,https://www.lghfoundation.com/,Lions Gate Hospital,British Columbia Lions Gate Hospital,ChIJJVEVSUdwhlQRZhyQmkl8KJk
British Columbia,http://louisbrier.com/,Louis Brier Home & Hospital,British Columbia Louis Brier Hospital,ChIJ6R1evHh0hlQRZhGkkf2dvIU
British Columbia,https://www.northernhealth.ca/locations/hospitals/mackenzie-and-district-hospital-and-health-centre,Mackenzie & District Hospital & Health Centre,British Columbia Mackenzie and District Hospital,ChIJ0zl80pIhjFMRFoC3Azl7VKg
British Columbia,http://providencehealthcare.org,Marion Hospice,British Columbia Marion Hospice,ChIJX542GMJzhlQRCWXT4_dOCAc
British Columbia,http://mpap.vch.ca/,Mary Pack Arthritis Program - Vancouver Arthritis Clinic,British Columbia Mary Pack Arthritis Centre,ChIJg9uUPN1zhlQRPHdRGh1qvBM
British Columbia,https://www.northernhealth.ca/locations/long-term-care/mcbride-and-district-hospital,McBride Hospital & Health Centre,British Columbia McBride and District Hospital,ChIJ30jOtq9ohFMR4quxX_YwOyg
British Columbia,http://www.mennoplace.ca/,"Menno Place: Menno Hospital, Home and Apartments",British Columbia Menno Hospital,ChIJQYBFGqZKhFQRC4z52Y-mmdE
